Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2017,YR2017,..,..,3.04,..,..,..,..,..,..,..,..,160.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.97,..,..,..,..,..,24.3,..,..,0.7,2898242
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2018,YR2018,..,..,3.13,..,..,..,..,..,..,..,..,164.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,17.6,..,..,0.5,2894231
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2019,YR2019,..,..,3.32,..,..,..,..,..,..,..,..,169.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05,..,..,..,..,..,14.6,..,..,0.4,2885010
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2020,YR2020,..,..,3.4,..,..,..,..,..,..,..,..,175.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08,..,..,..,..,..,13.9,..,..,0.4,2871954
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2021,YR2021,0.84,2.59,3.49,0.77,0.6,0.48,1.13,0.41,0.11,43.96,135.53,182.48,40.1,31.2,24.81,59.08,21.58,5.72,4.15,0.22,0.17,0.14,0.32,0.12,0.03,1.62,1.26,2.38,0.87,0.23,0.27,0.82,1.11,0.08,0.24,0.32,3.3,8.9,12.6,0.1,0.3,0.4,2849635
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2022,YR2022,..,..,4.14,..,..,..,..,..,..,..,..,203.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.32,..,..,..,..,..,11.7,..,..,0.3,2827608
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2023,YR2023,..,..,4.58,..,..,..,..,..,..,..,..,223.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45,..,..,..,..,..,11.4,..,..,0.3,2811655
Food Prices for Nutrition 4.0,FPN 4.0,Albania,ALB,2024,YR2024,..,..,4.77,..,..,..,..,..,..,..,..,230.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51,..,..,..,..,..,10.7,..,..,0.3,2791765
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2017,YR2017,..,..,4.09,..,..,..,..,..,..,..,..,155.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,18.8,..,..,7.8,41689299
Food Prices for Nutrition 4.0,FPN 4.0,Algeria,DZA,2018,YR2018,..,..,4.16,..,..,..,..,..,..,..,..,160.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.32,..,..,..,..,..,18.1,..,..,7.7,42505035
